"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.2",,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
Reviewer ORCID(s):,,,,,,
General Publication(s):,"Börner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. “Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas.” Nature Cell Biology 23 (11): 1117–28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,
Data DOI:,https://doi.org/10.48539/HBM858.DNFV.736,,,,,
Date:,5/6/2022,,,,,
Version Number:,v1.2,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHMAllenBrain,#VHMaleOrgans,Allen_piriform_region_L,piriform cortex,UBERON:0004725,http://purl.obolibrary.org/obo/UBERON_0004725,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_frontal_agranular_insular_cortex_area_Fl_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_temporal_agranular_insular_cortex_area_Tl_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_head_of_caudate_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_body_of_caudate_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_tail_of_caudate_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_putamen_L,left putamen,UBERON:0008884,http://purl.obolibrary.org/obo/UBERON_0008884,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_nucleus_accumbens_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_external_segment_of_globus_pallidus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_internal_segment_of_globus_pallidus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_claustrum_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basal_forebrain_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_septal_nuclei_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_amygdaloid_complex_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_amygdaloid_area_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_central_nuclear_group_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basolateral_nucleus_basal_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basomedial_nucleus_accessory_basal_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_cortical_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posterior_cortical_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_medial_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_amygdalohippocampal_area_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_bed_nucleus_of_stria_terminalis_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_nuclear_complex_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_dorsal_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_mediodorsal_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_posterior_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pulvinar_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_anterior_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_lateral_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_posterior_lateral_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_posterior_medial_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_dorsal_lateral_geniculate_nucleus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_medial_geniculate_nuclei_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_centromedian_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_parafascicular_nucleus_of_thalamus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_habenular_nuclei_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pineal_body_L,pineal body,UBERON:0001905,http://purl.obolibrary.org/obo/UBERON_0001905,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_zona_incerta_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_supraoptic_region_of_HTH_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_preoptic_region_of_HTH_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_tuberal_region_of_HTH_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_white_matter_of_forebrain_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_commissure_L,anterior commissure,UBERON:0000935,http://purl.obolibrary.org/obo/UBERON_0000935,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_corpus_callosum_L,corpus callosum,UBERON:0002336,http://purl.obolibrary.org/obo/UBERON_0002336,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_fornix_L,fornix of brain,UBERON:0000052,http://purl.obolibrary.org/obo/UBERON_0000052,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_mammillothalamic_tract_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_optic_tract_L,optic tract,UBERON:0001908,http://purl.obolibrary.org/obo/UBERON_0001908,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_horn_of_lateral_ventricle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_body_of_lateral_ventricle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posterior_horn_of_lateral_ventricle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_horn_of_lateral_ventricle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_third_ventricle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cerebellar_vermis_L,cerebellar vermis,UBERON:0004720,http://purl.obolibrary.org/obo/UBERON_0004720,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cerebellar_deep_nuclei_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_white_matter_of_hindbrain_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_olfactory_tract_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_precentral_gyrus_L,precentral gyrus,UBERON:0002703,http://purl.obolibrary.org/obo/UBERON_0002703,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_superior_frontal_gyrus_L,superior frontal gyrus,UBERON:0002661,http://purl.obolibrary.org/obo/UBERON_0002661,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_middle_frontal_gyrus_L,middle frontal gyrus,UBERON:0002702,http://purl.obolibrary.org/obo/UBERON_0002702,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_frontal_gyrus_triangular_part_L,triangular part of inferior frontal gyrus,UBERON:0002629,http://purl.obolibrary.org/obo/UBERON_0002629,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_frontal_gyrus_opercular_part_L,opercular part of inferior frontal gyrus,UBERON:0002980,http://purl.obolibrary.org/obo/UBERON_0002980,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_gyrus_rectus_straight_gyrus_L,gyrus rectus,UBERON:0004671,http://purl.obolibrary.org/obo/UBERON_0004671,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_medial_orbital_gyrus_L,medial orbital gyrus,UBERON:0002570,http://purl.obolibrary.org/obo/UBERON_0002570,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_intermediate_orbital_gyrus_L,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posterior_intermediate_orbital_gyrus_L,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_orbital_gyrus_L,lateral orbital gyrus,UBERON:0002564,http://purl.obolibrary.org/obo/UBERON_0002564,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_paracentral_lobule_rostral_part_L,anterior segment of paracentral lobule,UBERON:0035932,http://purl.obolibrary.org/obo/UBERON_0035932,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_frontal_operculum_L,frontal operculum,UBERON:0002947,http://purl.obolibrary.org/obo/UBERON_0002947,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_postcentral_gyrus_L,postcentral gyrus,UBERON:0002581,http://purl.obolibrary.org/obo/UBERON_0002581,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_supraparietal_lobule_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_supramarginal_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_angular_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_precuneus_L,precuneus cortex,UBERON:0006093,http://purl.obolibrary.org/obo/UBERON_0006093,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_paracentral_lobule_caudal_part_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_superior_temporal_gyrus_L,superior temporal gyrus,UBERON:0002769,http://purl.obolibrary.org/obo/UBERON_0002769,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_middle_temporal_gyrus_L,middle temporal gyrus,UBERON:0002771,http://purl.obolibrary.org/obo/UBERON_0002771,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_temporal_gyrus_L,inferior temporal gyrus,UBERON:0002751,http://purl.obolibrary.org/obo/UBERON_0002751,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_occipitotemporal_fusiform_gyrus_temporal_part_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_transverse_temporal_gyrus_Heschls_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_planum_temporale_L,planum temporale,UBERON:0022268,http://purl.obolibrary.org/obo/UBERON_0022268,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_temporal_pole_L,temporal pole,UBERON:0002576,http://purl.obolibrary.org/obo/UBERON_0002576,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_planum_polare_L,planum polare,UBERON:0023861,http://purl.obolibrary.org/obo/UBERON_0023861,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_occipital_pole_L,occipital pole,UBERON:0002902,http://purl.obolibrary.org/obo/UBERON_0002902,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cuneus_L,cuneus cortex,UBERON:0006092,http://purl.obolibrary.org/obo/UBERON_0006092,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lingual_gyrus_medial_occipitotemporal_gyrus_L,lingual gyrus,UBERON:0002943,http://purl.obolibrary.org/obo/UBERON_0002943,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_L,occipital fusiform gyrus,UBERON:0022364,http://purl.obolibrary.org/obo/UBERON_0022364,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_occipital_gyrus_L,inferior occipital gyrus,UBERON:0014608,http://purl.obolibrary.org/obo/UBERON_0014608,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_superior_occipital_gyrus_L,superior occipital gyrus,UBERON:0002948,http://purl.obolibrary.org/obo/UBERON_0002948,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cingulate_gyrus_rostral_anterior_part_L,anterior cingulate gyrus,UBERON:0002756,http://purl.obolibrary.org/obo/UBERON_0002756,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cingulate_gyrus_caudal_posterior_part_L,posterior cingulate gyrus,UBERON:0002740,http://purl.obolibrary.org/obo/UBERON_0002740,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ingulo_parahippocampal_isthmus_L,isthmus of cingulate gyrus,UBERON:0002738,http://purl.obolibrary.org/obo/UBERON_0002738,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_subcallosal_gyrus_parolfactory_gyrus_L,subcallosal area,UBERON:0003020,http://purl.obolibrary.org/obo/UBERON_0003020,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_parahippocampal_gyrus_L,anterior parahippocampal gyrus,UBERON:0022383,http://purl.obolibrary.org/obo/UBERON_0022383,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posterior_parahippocampal_gyrus_L,posterior parahippocampal gyrus,UBERON:0002657,http://purl.obolibrary.org/obo/UBERON_0002657,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_gyrus_ambiens_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_head_of_hippocampus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_body_of_hippocampus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_tail_of_hippocampus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_long_insular_gyri_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_short_insular_gyri_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_limen_insula_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pretectal_region_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_substantia_nigra_L,substantia nigra,UBERON:0002038,http://purl.obolibrary.org/obo/UBERON_0002038,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_superior_colliculus_L,superior colliculus,UBERON:0001945,http://purl.obolibrary.org/obo/UBERON_0001945,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cerebral_peduncle_crus_cerebri_L,cerebral peduncle,UBERON:0002623,http://purl.obolibrary.org/obo/UBERON_0002623,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_superior_cerebellar_peduncle_brachium_conjunctivum_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cerebral_aqueduct_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_paravermis_of_cerebellum_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_hemisphere_of_cerebellum_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basilar_part_of_pons_L,pontine nuclear group,UBERON:0002151,http://purl.obolibrary.org/obo/UBERON_0002151,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pontine_tegmentum_L,pontine tegmentum,UBERON:0003023,UBERON:0003023,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pyramidal_part_of_medulla_oblongata_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_tegmentum_of_medulla_oblongata_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_olive_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_middle_cerebellar_peduncle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_fourth_ventricle_L,fourth ventricle,UBERON:0002422,http://purl.obolibrary.org/obo/UBERON_0002422,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_central_canal_of_medulla_oblongata_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_midline_nuclear_complex_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_olfactory_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_parietal_operculum_L,parietal operculum,UBERON:0002911,http://purl.obolibrary.org/obo/UBERON_0002911,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_optic_radiation_L,optic radiation,UBERON:0022264,http://purl.obolibrary.org/obo/UBERON_0022264,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posteroventral_putamen_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_atrium_of_lateral_ventricle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_paracingulate_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_rostral_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_frontomarginal_gyrus_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_frontal_pole_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_cerebellar_peduncle_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_brain_Hemisphere_R,right cerebral hemisphere,UBERON:0002813,http://purl.obolibrary.org/obo/UBERON_0002813,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_olfactory_bulb_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_olfactory_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_piriform_region_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_frontal_agranular_insular_cortex_area_Fl_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_temporal_agranular_insular_cortex_area_Tl_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_head_of_caudate_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_body_of_caudate_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_tail_of_caudate_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_putamen_R,right putamen,UBERON:0008885,http://purl.obolibrary.org/obo/UBERON_0008885,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_nucleus_accumbens_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_external_segment_of_globus_pallidus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_internal_segment_of_globus_pallidus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_claustrum_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basal_forebrain_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_septal_nuclei_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_amygdaloid_complex_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_amygdaloid_area_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_central_nuclear_group_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basolateral_nucleus_basal_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_basomedial_nucleus_accessory_basal_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_cortical_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posterior_cortical_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_medial_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_amygdalohippocampal_area_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_bed_nucleus_of_stria_terminalis_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_nuclear_complex_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_dorsal_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_mediodorsal_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_lateral_posterior_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pulvinar_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_anterior_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_lateral_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_posterior_lateral_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_ventral_posterior_medial_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_dorsal_lateral_geniculate_nucleus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_medial_geniculate_nuclei_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_centromedian_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_parafascicular_nucleus_of_thalamus_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_habenular_nuclei_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_pineal_body_R,pineal body,UBERON:0001905,http://purl.obolibrary.org/obo/UBERON_0001905,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_zona_incerta_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_supraoptic_region_of_HTH_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_white_matter_of_forebrain_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_commissure_R,anterior commissure,UBERON:0000935,http://purl.obolibrary.org/obo/UBERON_0000935,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_corpus_callosum_R,corpus callosum,UBERON:0002336,http://purl.obolibrary.org/obo/UBERON_0002336,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_fornix_R,fornix of brain,UBERON:0000052,http://purl.obolibrary.org/obo/UBERON_0000052,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_mammillothalamic_tract_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_optic_tract_R,optic tract,UBERON:0001908,http://purl.obolibrary.org/obo/UBERON_0001908,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_anterior_horn_of_lateral_ventricle_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_body_of_lateral_ventricle_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_posterior_horn_of_lateral_ventricle_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_horn_of_lateral_ventricle_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_third_ventricle_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cerebellar_vermis_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_cerebellar_deep_nuclei_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_white_matter_of_hindbrain_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_olfactory_tract_R,-,-,-,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_precentral_gyrus_R,precentral gyrus,UBERON:0002703,http://purl.obolibrary.org/obo/UBERON_0002703,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_superior_frontal_gyrus_R,superior frontal gyrus,UBERON:0002661,http://purl.obolibrary.org/obo/UBERON_0002661,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_middle_frontal_gyrus_R,middle frontal gyrus,UBERON:0002702,http://purl.obolibrary.org/obo/UBERON_0002702,Allen_M_Brain
#VHMAllenBrain,#VHMaleOrgans,Allen_inferior_frontal_gyrus_triangular_part_R,triangular part of inferior frontal gyrus,UBERON:0002629,http://purl.obolibrary.org/obo/UBERON_0002629,Allen_M_Brain
